APK Name,Eye,Head,Environment,Hand,Body,Face
124_大師狂想曲_Missing_Pictures_Abel_Ferrara_0.6.15,15,1,3,40,41,1
125_大球星篮球汉化中文版_Big_Ballers_Basketball_,25,18,6,127,25,1
126_大鼓摇滚_Drums_Rock_v1.049.79,11,1,7,54,15,1
127_天镜_王国乱斗_Skyworld_Kingdom_Brawl_v1.7.9141.44,2,14,19,168,7,15
128_太极汉化中文版_Guided_Tai_Chi_[1.2.35],23,17,10,82,23,8
129_太空人城_Spacefolk_City_v1.19.28_(4b971cb01),3,6,8,86,17,14
131_太空尽头_End_Space_v1.0.6.1.26,5,3,3,22,3,0
132_太空频道5_Space_Channel_5_v1.0.3.68514,36,11,8,118,65,15
133_太鼓狂潮汉化版_Taiko_Frenzy_0.3.3,3,1,5,38,6,0
134_奇妙创通关_Sam_and_Max_This_Time_Its_Virtual_v1.0.2.247,17,24,9,131,27,1
135_奇幻丛林_Wonderglade_v1.10.140462,21,9,3,51,22,1
137_奥术黑客_Arcaxer_v1.43.42.208,10,14,21,66,9,6
138_奥迪卡汉化中文版_Audica_v1.0.3.3.131779801_Signed,15,2,28,24,8,0
139_女王骑士_The_Knight_of_Queen_v1.2.6.10260,11,0,4,15,8,0
140_学习语言_Mondly_Practice_Languages_in_[5.0.2.50002],12,2,4,48,21,0
141_学习辅导VR_MageVR_v1.6.0.5,19,33,9,88,64,0
142_宇宙海盗_Space_Pirate_Trainer_Quest_v1.965.1965,36,21,54,156,93,23
146_宇宙空间战_End_Space_v1.0.6.1.26,5,3,3,22,3,0
147_守护者前线_Guardians_v1.2.0.421,14,47,27,216,73,3
149_宗_Zong_v1.21,16,1,6,52,17,0
151_宠物岛屿汉化版_Little_Island_1.0,10,7,0,39,3,0
152_家居设计汉化中文版_Home_Design_3D_v2.1.56.2669,14,7,16,102,23,5
154_密室逃脱_Flow_Weaver_v2.1.51,11,9,20,199,25,34
155_射击模拟_Shooting_Therapy_[0.2],10,6,10,25,10,0
156_射击球_Pangman_v1.1.16,20,2,11,54,21,1
157_小发明生成器汉化中文版_Gizmo_Builder_0.1.0.1338,15,8,13,88,20,1
158_小台球汉化中文版_small_Pool_v9,2,7,5,23,6,0
159_小土豆大冒险_Kartoffl_v1.0.013.244,6,5,0,25,2,0
