platform,name,age,category,privacy_url,type,cookie,share,security,right,children,specialArea,update,how,provide,retention,useData,order,label_error,title_error,ARI,FRES,LIX,Average Syllables per Word,Average Words per Sentence,Average Letters per Word,Sentence Count,Word Count,Reading Time (minutes),Speaking Time (minutes)
pico,Meta彼岸,,"社交,",,,,,,,,,,,,,,,,,,,,,,,,,,
pico,Gravity League,年龄：12+,运动,https://www.blue-duck-studios.com/chinese-privacy-policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,62.10899159663865,-819.7037184873949,101.51680672268908,1.4285714285714286,59.5,11.420168067226893,2.0,119.0,0.595,0.7933333333333333
pico,危机行动队,年龄：16+,"动作,",,,,,,,,,,,,,,,,,,,,,,,,,,
pico,Color Connect,,"解谜,",https://sandfordtech.com/privacy-policy-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,17.488442667438576,-230.4339559286463,60.459130875275896,1.6306400839454354,32.86206896551724,4.774396642182581,29.0,953.0,4.765,6.3533333333333335
pico,红色物质,年龄：16+,"冒险,",http://verticalrobot.com/privacy/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"['9', '0']",0.0,0.0,11.740088300220757,-188.48400110375275,49.00772626931568,1.5562913907284768,25.166666666666668,4.370860927152318,6.0,151.0,0.755,1.0066666666666666
pico,海上花园,年龄：8+,"冒险,",https://neatcorporation.com/privacypolicy_china/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,41.91217391304348,-564.4723913043478,74.26086956521739,1.5,46.0,8.565217391304348,1.0,46.0,0.23,0.3066666666666666
pico,一帧VR,,"视频,",,,,,,,,,,,,,,,,,,,,,,,,,,
pico,魔法花园,年龄：8+,"放松,",https://funktroniclabs.com/legal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,15.680640115758289,-241.195773444498,61.19072555639771,1.7480190174326466,27.43478260869565,4.966719492868463,23.0,631.0,3.155,4.206666666666667
pico,VFC格斗家,年龄：12+,动作,https://www.vfcgame.com/privacy-statements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,12.36417189912506,-216.1290298507462,52.50643335048893,1.6492537313432836,23.103448275862068,4.722388059701492,29.0,670.0,3.35,4.466666666666667
playstation,Until Dawn: Rush of Blood (English/Chinese/Korean Ver.),,"Horror,",,,,,,,,,,,,,,,,,,,,,,,,,,
playstation,Hatsune Miku: Project DIVA X (English Ver.),,Music/Rhythm,,,,,,,,,,,,,,,,,,,,,,,,,,
playstation,Rise of the Tomb Raider: 20 Year Celebration (Game),,"Action,",http://www.crystald.com/legal/privacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,16.78939329332524,-211.29813368185867,60.78454167102954,1.6030289917784508,33.68804664723032,4.538295110341843,343.0,11555.0,57.775,77.03333333333333
playstation,Hatsune Miku: Project DIVA X HD (Japanese Ver.),,Music/Rhythm,,,,,,,,,,,,,,,,,,,,,,,,,,
playstation,BOUND: Shattered Kingdom (English/Chinese/Korean Ver.),,"Action,",,,,,,,,,,,,,,,,,,,,,,,,,,
playstation,RACE THE SUN ® (English Ver.),,Action,,,,,,,,,,,,,,,,,,,,,,,,,,
playstation,Hatsune Miku: Project DIVA X HD (Chinese Ver.),,Music/Rhythm,,,,,,,,,,,,,,,,,,,,,,,,,,
playstation,Star Strike™ Ultra (English/Chinese/Korean Ver.),,"Arcade,",,,,,,,,,,,,,,,,,,,,,,,,,,
playstation,"Trackmania® Turbo - Demo (English, Japanese)",,Driving/Racing,,,,,,,,,,,,,,,,,,,,,,,,,,
playstation,"Minecraft (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",,Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,奇妙棒球,所有人,动作,-,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,惊魂夜2,所有人,冒险,-,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,VR 吴哥窟观光 - 柬埔寨,10+,视频,-,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,学校里干粉灭火器的使用,所有人,教育,-,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,梦现,所有人,音乐,-,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,北京漫步2020,所有人,视频,-,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,兵马俑博物馆,10+,模拟,-,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,忍者传奇,17+,冒险,https://playcoinflip.com/privacy-policy/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,42.38408163265306,-549.0510204081631,89.81632653061224,1.3061224489795915,49.0,8.346938775510203,1.0,49.0,0.245,0.3266666666666666
viveport,直升机模拟器VR 2021-救援行动,所有人,冒险,-,,,,,,,,,,,,,,,,,,,,,,,,,
viveport,疾速货车,所有人,休闲,http://www.virtualarts.co.uk/privacypolicy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1.0,0.0,25.344,-593.48,25.0,1.2,5.0,9.4,1.0,5.0,0.025,0.0333333333333333
