ARI,FRES,LIX,Average Syllables per Word,Average Words per Sentence,Average Letters per Word,Sentence Count,Word Count,Reading Time (minutes),Speaking Time (minutes)
,,,,,,,,,
8.046190476190478,-222.23971428571423,34.82222222222222,1.6825396825396826,12.6,4.920634920634921,5.0,63.0,0.315,0.42
56.86603501164405,-920.2537317032773,92.34164659738764,1.50013747594171,35.05542168674699,12.901979653560629,415.0,14548.0,72.74,96.98666666666666
,,,,,,,,,
23.22013375295043,-275.9424940991345,69.47061443225509,1.7127206329884357,40.073170731707314,5.225806451612903,41.0,1643.0,8.215,10.953333333333331
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
56.66575520833333,-431.1784375,135.93055555555554,1.9722222222222223,96.0,6.389756944444445,12.0,1152.0,5.76,7.68
,,,,,,,,,
,,,,,,,,,
9.055825545171338,-198.6863940809968,43.53426791277258,1.5233644859813085,17.833333333333332,4.579439252336448,12.0,214.0,1.07,1.4266666666666667
10.780239520958084,-238.68795508982032,44.8437125748503,1.6646706586826348,16.7,5.065868263473054,10.0,167.0,0.835,1.1133333333333333
,,,,,,,,,
56.86603501164405,-920.2537317032773,92.34164659738764,1.50013747594171,35.05542168674699,12.901979653560629,415.0,14548.0,72.74,96.98666666666666
99.32351931330471,-1034.087178111588,168.431330472103,1.0858369098712446,116.5,13.27038626609442,2.0,233.0,1.165,1.5533333333333332
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11.732782106056804,-209.0756320683589,48.96213453966658,1.5934489402697496,22.565217391304348,4.645472061657033,23.0,519.0,2.595,3.46
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
21.675745856353597,-351.147111878453,65.36362799263352,2.0331491712707184,27.15,6.269797421731123,40.0,1086.0,5.43,7.24
12.940862068965522,-237.2688362068965,44.73850574712644,1.7701149425287357,21.75,4.988505747126437,4.0,87.0,0.435,0.58
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-3.693636363636365,-67.92931818181813,14.590909090909092,1.0,5.5,3.1818181818181817,2.0,11.0,0.055,0.0733333333333333
13.414495392204245,-193.13198141466827,53.04248254370324,1.5369873514756611,28.358695652173918,4.3875047911077045,92.0,2609.0,13.045,17.393333333333334
29.615693473193478,-254.38768531468523,85.17202797202798,1.6625874125874125,57.2,4.765540015540015,90.0,5148.0,25.74,34.32
,,,,,,,,,
23.0287972166998,-391.38211083499,61.53170974155069,1.7375745526838966,25.15,6.769383697813121,20.0,503.0,2.515,3.353333333333333
139.47555555555556,-2468.2366666666667,93.66666666666669,1.148148148148148,27.0,31.296296296296298,1.0,27.0,0.135,0.18
15.042519685039371,-245.94285039370075,61.2267716535433,1.68503937007874,25.4,5.047244094488189,10.0,254.0,1.27,1.6933333333333334
,,,,,,,,,
14.914331889804863,-251.23641572315552,58.48587342168423,1.8151935719503287,24.446428571428573,5.121256391526662,56.0,1369.0,6.845,9.126666666666669
16.293962452545635,-214.8355108169952,58.60770190857559,1.6006968641114985,32.12686567164179,4.59883855981417,134.0,4305.0,21.525,28.7
13.48690476190476,-217.20464285714283,52.85760971055089,1.6069094304388425,25.5,4.706349206349207,84.0,2142.0,10.71,14.28
13.733134920634916,-236.56342261904757,55.37103174603175,1.7037037037037035,23.625,4.957671957671957,8.0,189.0,0.945,1.26
,,,,,,,,,
21.867816205533597,-304.37571146245057,64.43280632411067,1.817934782608696,33.45454545454545,5.641304347826087,11.0,368.0,1.84,2.453333333333333
15.241193438140805,-214.0062679425837,59.13943950786056,1.6435406698564594,29.857142857142858,4.616267942583732,70.0,2090.0,10.45,13.933333333333334
0.2371428571428566,-126.58428571428568,7.0,1.0,7.0,3.857142857142857,1.0,7.0,0.035,0.0466666666666666
20.099342105263155,-346.132322368421,62.20229618163055,2.015479876160991,24.225,6.245614035087719,40.0,969.0,4.845,6.46
23.0287972166998,-391.38211083499,61.53170974155069,1.7375745526838966,25.15,6.769383697813121,20.0,503.0,2.515,3.353333333333333
17.019459598498756,-225.74467759473396,62.04986612727846,1.638570933055845,32.39325842696629,4.724592438432189,89.0,2883.0,14.415,19.22
14.74882126807082,-303.9443907358276,50.94552132402043,1.9176006641760064,17.456521739130434,5.828144458281445,552.0,9636.0,48.18,64.24
,,,,,,,,,
,,,,,,,,,
13.115211342064155,-216.45421242340493,51.06151628018743,1.5881773399014778,24.75609756097561,4.706403940886699,41.0,1015.0,5.075,6.766666666666667
11.813495314087987,-191.39718374000407,49.26721886715561,1.5356903110315507,24.96648044692737,4.407697471470128,179.0,4469.0,22.345,29.793333333333333
18.009177269885157,-236.5326025692116,62.39272785808581,1.6612748472144003,33.2706453851492,4.841582712804789,2882.0,95886.0,479.43,639.24
56.86603501164405,-920.2537317032773,92.34164659738764,1.50013747594171,35.05542168674699,12.901979653560629,415.0,14548.0,72.74,96.98666666666666
,,,,,,,,,
336.85217821782174,-5423.996831683167,136.64356435643566,10.297029702970296,101.0,65.34653465346534,1.0,101.0,0.505,0.6733333333333333
21.2290994541618,-224.32970406152444,67.54922135221386,1.570074812967581,42.06293706293706,4.591853699085619,143.0,6015.0,30.075,40.1
21.75812481857765,-244.1374673439767,70.95791001451379,1.7320754716981133,40.76923076923077,4.841509433962264,13.0,530.0,2.65,3.533333333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
13.273129440840286,-196.1054247760272,51.48501699104109,1.464318813716404,27.666666666666668,4.430954587581094,39.0,1079.0,5.395,7.193333333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
