APK Name,Eye,Head,Environment,Hand,Body,Face
370_苍穹SPHERES_1.44_FNAL,3,10,0,0,1,4
375_莱美搏击（有com文件夹，英文）_莱美搏击_Les-Mills-BodyCombat_1.4,3,1,6,33,6,0
378_虚世界dij_WebXR_1.0.12_(CN)_FNAL,1,3,2,3,10,5
379_虚拟办公室Immersed_1.9.95,31,6,31,106,8,3
380_虚拟演讲VirtualSpeech_3.26_HTS,28,10,22,4,30,10
381_虚拟训练Enhance_VR_2.6.1.2_FNAL,8,7,0,36,9,1
382_蜂潮危机（有com文件夹）_蜂潮危机_Swarm_1,18,2,14,45,18,0
383_街机穿越Pangman_1.1_10_VTX(5.3.x),95,22,12,66,18,1
384_被盗宠物之谜The_curious_tale_of_the_stolen_pets_1.04.7_FNAL(5.3.x),150,46,13,152,35,0
387_角斗士觉醒Gorn_1.3.2855_31_UNCENSORED_FNAL(5.3.x),19,23,0,49,26,10
388_触手巧匠Tentacular_1.1.24_90_VTX(5.3.x),0,10,1,18,8,23
389_诺克射手(5.6.x)_Nock_1.8.7_FNAL_Nock_1.8.7_FNAL,3,52,26,140,94,1
391_谷歌绘画MultiBrush_0.130b_VTX,3,16,4,36,10,14
392_超弦乐队Band_Space_1.0.4_FNAL,9,35,23,182,61,34
393_超次元接触（有com文件夹）_超次元接触_UNBINARY_1.0.3(5.3.x),10,2,8,41,14,0
394_超燃一刻Calwave_1.3.1.0,5,38,14,85,74,7
395_超级滑翔翼2（有com文件夹）_超级滑翔翼2_Ultrawings2_0.973(5.3.x),56,5,42,147,36,1
396_超能军团HyperDash_29.4.43_FNAL_HyperDash_29.4.43_FNAL,9,26,9,72,45,0
397_超能军团_HyperDash_29.4.36_HyperDash_29.4.36_HTS,9,26,9,72,45,0
398_超自然侦探：逃离 90 年代（有com文件夹）_Paranormal_Detective-Escape_from_the_90s_1.19_FNAL,21,20,7,70,26,0
399_超自然侦探：逃离80年代Paranormal_Detective-Escape_from_the_80s_1.93_FNAL,12,32,1,108,72,2
401_距离之书The_Book_of_Distance_1.8.7,4,2,6,47,0,1
402_轻世界Pico_Worlds_1.5.1_(CN)_FNAL,0,11,23,40,7,0
403_轻松钓鱼Bait!_1.13_FNAL(5.3.x),63,11,3,23,3,4
405_远古地牢Ancient_Dungeon_ea0.1.3.6_29_VTX(5.3.x),1,5,17,52,5,20
406_迷你赛车手Mini_Motor_Racing_X_1.3.6.132_VTX(5.3.x),2,6,20,62,16,0
407_迷你都市LittleCities_1.0.4_VTX(5.3.x),12,9,9,92,16,4
408_迷室The_Room_A_Dark_Matter_1.0.2_VTX(5.3.x),0,8,0,33,3,3
409_迷幻拼图Squingle_2.0.9_VTX(5.3.x),3,26,7,92,6,3
410_迷禁Lost_In_Abyss_44.1.15(5.3.x),3,10,3,23,8,1
411_逃出地牢Escape_from_dungeon_1.1.9_29_FAVTX,70,28,23,19,13,0
413_速降阿尔卑斯DescentAlps_0.4.6_VTX(5.3.x),62,7,5,18,3,0
414_造路游戏Tsuro_1.04_FNAL(5.3.x),62,9,21,14,15,1
416_里奇的木板Richies_Plank_Experience_1.9.1,16,2,8,60,26,1
417_重力实验 Gravity_Lab_1.218_FNAL,21,8,7,65,21,0
418_重力素描GravitySketchVR_6.0.3-pi_FNAL,-1,-1,-1,-1,-1,-1
419_钢铁战士IRON_GUARD_VR_1.12_FNAL(5.3.x),11,4,0,21,3,0
421_银河钓手Galactic_Catch_1.23.230402_FNAL,6,0,8,25,10,5
423_阿尔沃（有com文件夹）开机速器_Alvo_0.25,15,41,32,177,53,1
424_阿尔特斯超越时空ALTDEUS_BeyondChronos1.1.9_FAVTX(5.3.x),0,0,0,0,0,0
425_除夕：双鱼玉佩（有com文件夹）_Immortal_Legacy_VR_1.9_FNAL(5.3.x),14,28,12,271,105,10
426_雪城堡Snow_Fortress_1.516_FNAL(5.3.x),66,13,14,61,16,1
428_零封Cleansheet_2022.3.6P_FNAL(5.3.x),20,10,14,97,31,0
431_霹雳神兵Shock_Troops_1.4.1_FNAL(5.3.x),11,12,3,33,8,0
432_音乐冲击波Beat_Blaster_1.69_FNAL,6,0,0,1,1,1
433_音乐达人（有com文件夹）_Virtuoso_1.2.7_FNAL,9,11,5,53,13,2
434_飓风冲突VR(5.6.x)_Orkana_Conflict_6_FNAL,16,5,8,145,32,12
435_飞行工厂SimplePlanes_1.12.143_HTS,5,4,1,27,51,19
436_飞行英雄Flying_Hero_1.1.3_FNAL,71,7,4,10,2,0
437_驱魔人军团Exorcist_LegionVR_1.1.1_FNAL(5.3.x),98,54,48,131,89,7
439_高尔夫5俱乐部golf5eclub_3.349_golf5eclub_3.349,12,11,16,0,4,22
440_魔杖Wands_1.8.0.1_5_FNAL(5.3.x),69,28,22,75,11,7
441_魔杖联盟Wands_Alliances_1.1.6.83_FNAL,1,10,5,44,6,0
442_魔法层层叠Humpty_Dumpty_Poo_2.1_30_(CN)_FNAL,69,11,4,15,12,0
443_魔法拼图：龙与剑Magic_Puzzle-Dragon_and_Sword_1.1.4,0,0,0,8,0,0
444_魔法消消乐_Wholalo_2.1,69,11,4,15,12,0
446_鲤鱼饼大作战Lucky_Fish_Bread_0.44_FAVTX(5.3.x),0,3,0,12,1,19
447_黑曜世界SolarBlack_1.1_HTS,15,2,6,69,23,2
449_默者SairentoVRUntethered_1.9.0p1_FNAL(5.3.x),78,52,29,306,71,9
450_龙拳功夫DragonFistVRKungFu_1.0.0_FNAL(5.3.x),82,14,4,51,19,0
